User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
1301,442,172,0,0,378,829,1207,299,235,534
3147,442,104,1,2,84,1394,1478,27,124,151
3666,441,205,1,2,245,1006,1251,61,329,390
258,440,171,1,2,340,1231,1571,155,105,260
1217,440,176,1,1,911,169,1080,439,181,620
1583,440,83,0,0,2695,840,3535,121,19,140
3880,440,77,1,2,62,1063,1125,22,96,118
336,439,61,0,0,2096,528,2624,260,227,487
1427,439,127,1,1,144,904,1048,37,442,479
3351,439,242,0,0,800,648,1448,431,591,1022
406,438,259,1,2,1724,496,2220,966,40,1006
468,438,222,0,0,503,678,1181,416,263,679
3543,438,216,1,0,3,1686,1689,11,633,644
3630,437,475,1,2,1337,47,1384,274,1020,1294
175,436,228,1,2,706,919,1625,310,370,680
461,436,163,1,0,1263,671,1934,321,318,639
870,436,229,1,2,346,777,1123,282,302,584
3483,436,194,1,2,244,825,1069,134,546,680
181,435,198,1,2,501,1928,2429,352,179,531
794,435,90,0,0,904,671,1575,180,143,323
1016,435,74,1,2,67,1427,1494,59,64,123
153,434,261,1,2,1433,0,1433,491,0,491
2924,434,187,1,0,1603,150,1753,1220,712,1932
160,433,393,1,0,468,454,922,172,1349,1521
2342,433,166,1,0,283,798,1081,115,176,291
1817,432,353,1,0,54,968,1022,65,817,882
1955,432,398,1,2,530,641,1171,570,754,1324
3514,432,157,1,0,189,1133,1322,258,343,601
1038,431,172,1,2,307,1631,1938,157,162,319
2295,431,149,1,2,83,1681,1764,51,268,319
2709,431,286,0,0,224,968,1192,192,617,809
17,430,192,0,0,611,369,980,269,331,600
368,430,189,1,2,31,1512,1543,25,464,489
1671,430,100,0,0,2151,1302,3453,123,9,132
2306,430,315,1,2,587,573,1160,404,718,1122
3187,430,219,0,0,820,94,914,505,667,1172
3650,430,341,1,2,181,898,1079,256,821,1077
701,429,83,0,1,1266,1028,2294,344,202,546
1640,429,139,0,0,65,1265,1330,31,224,255
366,428,167,0,1,1499,269,1768,772,377,1149
1672,428,208,0,0,1848,28,1876,422,0,422
3687,428,36,0,0,100,2317,2417,14,38,52
1585,427,137,1,2,208,908,1116,105,268,373
750,426,356,1,0,61,932,993,129,1255,1384
